Local time,Open,High,Low,Close,Volume
18.04.2017 09:00:00.000 GMT+0900,18460.031,18478.031,18264.031,18314.031,27.4247
19.04.2017 09:00:00.000 GMT+0900,18414.031,18515.031,18364.030,18389.031,9.8752
20.04.2017 09:00:00.000 GMT+0900,18464.030,18622.031,18425.030,18580.031,25.3415
21.04.2017 09:00:00.000 GMT+0900,18555.031,18669.031,18549.030,18595.030,16.031
22.04.2017 09:00:00.000 GMT+0900,18595.030,18595.030,18595.030,18595.030,0
23.04.2017 09:00:00.000 GMT+0900,18595.030,18595.030,18595.030,18595.030,0
24.04.2017 09:00:00.000 GMT+0900,18890.030,19000.031,18839.031,18875.030,8.6903
25.04.2017 09:00:00.000 GMT+0900,18935.031,19242.030,18925.030,19185.031,6.767
26.04.2017 09:00:00.000 GMT+0900,19211.770,19330.031,19181.031,19191.031,31.6763
27.04.2017 09:00:00.000 GMT+0900,19240.030,19306.030,19199.030,19236.031,35.0798
28.04.2017 09:00:00.000 GMT+0900,19230.030,19268.030,19161.030,19228.031,37.8577
29.04.2017 09:00:00.000 GMT+0900,19228.031,19228.031,19228.031,19228.031,0
30.04.2017 09:00:00.000 GMT+0900,19228.031,19228.031,19228.031,19228.031,0
01.05.2017 09:00:00.000 GMT+0900,19233.030,19374.031,19228.030,19352.031,20.554
02.05.2017 09:00:00.000 GMT+0900,19453.030,19520.030,19413.030,19461.031,14.4532
03.05.2017 09:00:00.000 GMT+0900,19473.031,19630.031,19425.030,19605.030,17.5935
04.05.2017 09:00:00.000 GMT+0900,19598.031,19675.031,19505.030,19580.031,20.3582
05.05.2017 09:00:00.000 GMT+0900,19592.031,19725.031,19456.030,19707.031,13.5534
06.05.2017 09:00:00.000 GMT+0900,19707.031,19707.031,19707.031,19707.031,0
07.05.2017 09:00:00.000 GMT+0900,19707.031,19707.031,19707.031,19707.031,0
08.05.2017 09:00:00.000 GMT+0900,19789.030,19938.031,19754.030,19912.031,9.4224
09.05.2017 09:00:00.000 GMT+0900,19870.031,20028.031,19843.030,19973.030,4.6671
10.05.2017 09:00:00.000 GMT+0900,19888.030,19970.031,19867.030,19957.030,2.1514
11.05.2017 09:00:00.000 GMT+0900,19926.031,19996.031,19794.030,19871.030,6.6231
12.05.2017 09:00:00.000 GMT+0900,19897.031,19908.031,19791.030,19813.030,5.9767
13.05.2017 09:00:00.000 GMT+0900,19813.030,19813.030,19813.030,19813.030,0
14.05.2017 09:00:00.000 GMT+0900,19813.030,19813.030,19813.030,19813.030,0
15.05.2017 09:00:00.000 GMT+0900,19831.030,19958.031,19831.030,19953.031,6.6444
16.05.2017 09:00:00.000 GMT+0900,19967.030,19977.030,19811.030,19856.031,4.7329
17.05.2017 09:00:00.000 GMT+0900,19827.250,19847.031,19446.031,19461.030,12.2009
18.05.2017 09:00:00.000 GMT+0900,19491.031,19656.031,19286.030,19606.031,129.9777
19.05.2017 09:00:00.000 GMT+0900,19521.030,19748.031,19496.031,19688.031,62.3908
20.05.2017 09:00:00.000 GMT+0900,19688.031,19688.031,19688.031,19688.031,0
21.05.2017 09:00:00.000 GMT+0900,19688.031,19688.031,19688.031,19688.031,0
22.05.2017 09:00:00.000 GMT+0900,19623.030,19695.031,19613.031,19685.030,50.4542
23.05.2017 09:00:00.000 GMT+0900,19680.030,19777.031,19585.030,19767.030,65.6307
24.05.2017 09:00:00.000 GMT+0900,19725.031,19769.031,19689.030,19724.031,46.291
25.05.2017 09:00:00.000 GMT+0900,19746.030,19857.030,19739.031,19822.031,51.0018
26.05.2017 09:00:00.000 GMT+0900,19769.030,19797.031,19592.030,19712.031,42.3453
27.05.2017 09:00:00.000 GMT+0900,19712.031,19712.031,19712.031,19712.031,0
28.05.2017 09:00:00.000 GMT+0900,19712.031,19712.031,19712.031,19712.031,0
29.05.2017 09:00:00.000 GMT+0900,19702.031,19742.031,19672.030,19692.030,12.5098
30.05.2017 09:00:00.000 GMT+0900,19634.031,19692.031,19572.030,19627.031,41.5412
31.05.2017 09:00:00.000 GMT+0900,19657.031,19717.031,19602.030,19662.031,43.8275
01.06.2017 09:00:00.000 GMT+0900,19841.031,19939.031,19801.030,19915.031,38.2019
02.06.2017 09:00:00.000 GMT+0900,20090.031,20249.031,20066.030,20173.770,18.6751
03.06.2017 09:00:00.000 GMT+0900,20173.770,20173.770,20173.770,20173.770,0
04.06.2017 09:00:00.000 GMT+0900,20173.770,20173.770,20173.770,20173.770,0
05.06.2017 09:00:00.000 GMT+0900,20135.030,20220.030,20124.030,20159.031,4.1406
06.06.2017 09:00:00.000 GMT+0900,20073.030,20099.030,19896.030,19931.031,14.5271
07.06.2017 09:00:00.000 GMT+0900,19921.030,20026.031,19911.030,20006.031,19.2142
08.06.2017 09:00:00.000 GMT+0900,20021.030,20076.031,19901.030,20039.031,9.207
09.06.2017 09:00:00.000 GMT+0900,19965.031,20115.031,19856.030,19936.030,41.5621
10.06.2017 09:00:00.000 GMT+0900,19936.030,19936.030,19936.030,19936.030,0
11.06.2017 09:00:00.000 GMT+0900,19936.030,19936.030,19936.030,19936.030,0
12.06.2017 09:00:00.000 GMT+0900,19846.031,19962.531,19786.030,19852.531,37.9513
13.06.2017 09:00:00.000 GMT+0900,19891.030,19979.531,19881.030,19963.531,3.9163
14.06.2017 09:00:00.000 GMT+0900,19989.531,19990.531,19746.030,19885.531,6.527
15.06.2017 09:00:00.000 GMT+0900,19945.530,19945.530,19741.030,19919.530,37.1076
16.06.2017 09:00:00.000 GMT+0900,19926.530,20021.531,19896.530,19977.530,1.6393
17.06.2017 09:00:00.000 GMT+0900,19977.530,19977.530,19977.530,19977.530,0
18.06.2017 09:00:00.000 GMT+0900,19977.530,19977.530,19977.530,19977.530,0
19.06.2017 09:00:00.000 GMT+0900,20075.031,20184.031,20046.030,20171.531,4.0961
20.06.2017 09:00:00.000 GMT+0900,20281.030,20326.031,20181.031,20191.531,9.5115
21.06.2017 09:00:00.000 GMT+0900,20197.531,20218.031,20082.530,20137.530,5.7586
22.06.2017 09:00:00.000 GMT+0900,20116.031,20198.030,20077.530,20135.530,3.2703
23.06.2017 09:00:00.000 GMT+0900,20133.031,20153.031,20081.530,20136.031,5.519
24.06.2017 09:00:00.000 GMT+0900,20136.031,20136.031,20136.031,20136.031,0
25.06.2017 09:00:00.000 GMT+0900,20136.031,20136.031,20136.031,20136.031,0
26.06.2017 09:00:00.000 GMT+0900,20176.030,20239.031,20143.531,20214.031,5.9944
27.06.2017 09:00:00.000 GMT+0900,20207.530,20249.031,20136.530,20184.031,19.569
28.06.2017 09:00:00.000 GMT+0900,20203.031,20241.030,20061.531,20226.031,20.8494
29.06.2017 09:00:00.000 GMT+0900,20231.030,20261.031,19869.530,19979.531,7.2717
30.06.2017 09:00:00.000 GMT+0900,19968.030,20103.031,19944.531,20100.031,27.0352
01.07.2017 09:00:00.000 GMT+0900,20100.031,20100.031,20100.031,20100.031,0
02.07.2017 09:00:00.000 GMT+0900,20100.031,20100.031,20100.031,20100.031,0
03.07.2017 09:00:00.000 GMT+0900,20058.030,20203.031,20048.030,20193.031,12.7495
04.07.2017 09:00:00.000 GMT+0900,20128.030,20156.031,19966.031,20065.030,7.1913
05.07.2017 09:00:00.000 GMT+0900,19966.031,20144.031,19889.030,20096.030,18.7542
06.07.2017 09:00:00.000 GMT+0900,20004.030,20051.031,19876.031,19916.031,18.0959
07.07.2017 09:00:00.000 GMT+0900,19888.030,20071.031,19888.030,20041.030,18.0608
08.07.2017 09:00:00.000 GMT+0900,20041.030,20041.030,20041.030,20041.030,0
09.07.2017 09:00:00.000 GMT+0900,20041.030,20041.030,20041.030,20041.030,0
10.07.2017 09:00:00.000 GMT+0900,20057.031,20139.031,20042.030,20079.030,11.7979
11.07.2017 09:00:00.000 GMT+0900,20109.031,20207.031,20097.030,20132.030,30.0833
12.07.2017 09:00:00.000 GMT+0900,20109.031,20187.031,20067.030,20157.031,71.9451
13.07.2017 09:00:00.000 GMT+0900,20115.530,20157.031,20067.030,20132.031,11.6038
14.07.2017 09:00:00.000 GMT+0900,20137.031,20159.030,20042.030,20067.030,10.0166
15.07.2017 09:00:00.000 GMT+0900,20067.030,20067.030,20067.030,20067.030,0
16.07.2017 09:00:00.000 GMT+0900,20067.030,20067.030,20067.030,20067.030,0
17.07.2017 09:00:00.000 GMT+0900,20029.031,20137.031,20027.030,20047.031,5.6731
18.07.2017 09:00:00.000 GMT+0900,20017.030,20027.030,19909.030,19989.030,8.3929
19.07.2017 09:00:00.000 GMT+0900,20001.030,20039.031,19979.030,20039.031,6.3861
20.07.2017 09:00:00.000 GMT+0900,20039.030,20167.031,20039.030,20122.031,16.5761
21.07.2017 09:00:00.000 GMT+0900,20124.030,20127.031,19975.030,20005.030,7.9205
22.07.2017 09:00:00.000 GMT+0900,20005.030,20005.030,20005.030,20005.030,0
23.07.2017 09:00:00.000 GMT+0900,20005.030,20005.030,20005.030,20005.030,0
24.07.2017 09:00:00.000 GMT+0900,19945.031,20005.031,19885.030,19980.031,6.4701
25.07.2017 09:00:00.000 GMT+0900,20005.030,20110.031,19945.030,20085.031,6.6933
26.07.2017 09:00:00.000 GMT+0900,20110.030,20115.031,20014.031,20034.031,3.6245
27.07.2017 09:00:00.000 GMT+0900,20058.030,20183.031,19973.030,20043.030,6.2406
28.07.2017 09:00:00.000 GMT+0900,19988.030,20005.031,19934.030,19974.030,6.1725
29.07.2017 09:00:00.000 GMT+0900,19974.030,19974.030,19974.030,19974.030,0
30.07.2017 09:00:00.000 GMT+0900,19974.030,19974.030,19974.030,19974.030,0
31.07.2017 09:00:00.000 GMT+0900,19969.031,20005.031,19914.030,19940.031,4.0891
01.08.2017 09:00:00.000 GMT+0900,19965.030,20062.030,19960.030,20023.530,3.365
02.08.2017 09:00:00.000 GMT+0900,20050.531,20116.531,20025.530,20075.531,0.7977
03.08.2017 09:00:00.000 GMT+0900,20065.530,20065.530,19975.531,19975.531,0.844
04.08.2017 09:00:00.000 GMT+0900,19965.531,20075.531,19955.530,20050.531,0.4737
05.08.2017 09:00:00.000 GMT+0900,20050.531,20050.531,20050.531,20050.531,0
06.08.2017 09:00:00.000 GMT+0900,20050.531,20050.531,20050.531,20050.531,0
07.08.2017 09:00:00.000 GMT+0900,20071.531,20091.531,20046.530,20071.530,0.29
08.08.2017 09:00:00.000 GMT+0900,20051.530,20051.531,19952.531,19957.531,1.65
09.08.2017 09:00:00.000 GMT+0900,19753.530,19778.031,19663.030,19758.031,10.2771
10.08.2017 09:00:00.000 GMT+0900,19776.531,19793.030,19403.030,19413.030,10.4479
11.08.2017 09:00:00.000 GMT+0900,19403.031,19514.530,19313.030,19393.030,10.02
12.08.2017 09:00:00.000 GMT+0900,19393.030,19393.030,19393.030,19393.030,0
13.08.2017 09:00:00.000 GMT+0900,19393.030,19393.030,19393.030,19393.030,0
14.08.2017 09:00:00.000 GMT+0900,19571.531,19622.030,19524.030,19607.030,6.8276
15.08.2017 09:00:00.000 GMT+0900,19787.030,19845.531,19702.030,19732.030,7.6521
16.08.2017 09:00:00.000 GMT+0900,19734.030,19809.531,19694.031,19729.030,6.8726
17.08.2017 09:00:00.000 GMT+0900,19689.250,19741.031,19491.030,19491.500,11.8296
18.08.2017 09:00:00.000 GMT+0900,19532.000,19561.031,19331.030,19456.030,17.2607
19.08.2017 09:00:00.000 GMT+0900,19456.030,19456.030,19456.030,19456.030,0
20.08.2017 09:00:00.000 GMT+0900,19456.030,19456.030,19456.030,19456.030,0
21.08.2017 09:00:00.000 GMT+0900,19403.031,19421.031,19271.031,19338.000,12.7409
22.08.2017 09:00:00.000 GMT+0900,19396.030,19498.031,19353.500,19483.031,2.5976
23.08.2017 09:00:00.000 GMT+0900,19500.031,19524.530,19368.750,19383.030,4.2105
24.08.2017 09:00:00.000 GMT+0900,19393.030,19433.030,19328.030,19418.030,4.9153
25.08.2017 09:00:00.000 GMT+0900,19418.030,19553.031,19388.030,19463.031,5.3014
26.08.2017 09:00:00.000 GMT+0900,19463.031,19463.031,19463.031,19463.031,0
27.08.2017 09:00:00.000 GMT+0900,19463.031,19463.031,19463.031,19463.031,0
28.08.2017 09:00:00.000 GMT+0900,19441.030,19506.031,19412.000,19476.031,4.3812
29.08.2017 09:00:00.000 GMT+0900,19346.031,19508.031,19246.530,19482.531,8.2699
30.08.2017 09:00:00.000 GMT+0900,19488.031,19594.031,19462.530,19579.031,7.3457
31.08.2017 09:00:00.000 GMT+0900,19635.530,19741.031,19619.530,19687.530,6.1292
01.09.2017 09:00:00.000 GMT+0900,19686.531,19733.031,19623.030,19698.030,10.0025
02.09.2017 09:00:00.000 GMT+0900,19698.030,19698.030,19698.030,19698.030,0
03.09.2017 09:00:00.000 GMT+0900,19698.030,19698.030,19698.030,19698.030,0
04.09.2017 09:00:00.000 GMT+0900,19555.030,19558.030,19428.031,19518.031,6.1481
05.09.2017 09:00:00.000 GMT+0900,19468.030,19483.031,19267.031,19344.031,18.1943
06.09.2017 09:00:00.000 GMT+0900,19312.031,19494.530,19296.030,19466.031,15.7398
07.09.2017 09:00:00.000 GMT+0900,19461.031,19484.031,19359.031,19411.030,13.3452
08.09.2017 09:00:00.000 GMT+0900,19343.031,19356.031,19241.030,19296.031,14.8543
09.09.2017 09:00:00.000 GMT+0900,19296.031,19296.031,19296.031,19296.031,0
10.09.2017 09:00:00.000 GMT+0900,19296.031,19296.031,19296.031,19296.031,0
11.09.2017 09:00:00.000 GMT+0900,19521.031,19710.031,19521.030,19700.031,8.9226
12.09.2017 09:00:00.000 GMT+0900,19765.031,19886.031,19734.530,19876.030,11.8407
13.09.2017 09:00:00.000 GMT+0900,19866.031,19896.031,19807.530,19891.031,10.4871
14.09.2017 09:00:00.000 GMT+0900,19921.031,19921.031,19803.531,19879.030,15.253
15.09.2017 09:00:00.000 GMT+0900,19854.030,20043.031,19811.530,19993.030,12.0622
16.09.2017 09:00:00.000 GMT+0900,19993.030,19993.030,19993.030,19993.030,0
17.09.2017 09:00:00.000 GMT+0900,19993.030,19993.030,19993.030,19993.030,0
18.09.2017 09:00:00.000 GMT+0900,20053.031,20153.031,20041.530,20113.030,7.5798
19.09.2017 09:00:00.000 GMT+0900,20165.030,20323.031,20158.030,20285.030,17.0909
20.09.2017 09:00:00.000 GMT+0900,20288.030,20428.031,20268.030,20420.030,18.3379
21.09.2017 09:00:00.000 GMT+0900,20453.031,20488.031,20323.030,20398.531,17.2719
22.09.2017 09:00:00.000 GMT+0900,20325.030,20349.031,20259.031,20334.030,11.7952
23.09.2017 09:00:00.000 GMT+0900,20334.030,20334.030,20334.030,20334.030,0
24.09.2017 09:00:00.000 GMT+0900,20334.030,20334.030,20334.030,20334.030,0
25.09.2017 09:00:00.000 GMT+0900,20419.030,20434.031,20244.031,20314.030,18.2663
26.09.2017 09:00:00.000 GMT+0900,20336.030,20401.030,20286.030,20371.031,13.419
27.09.2017 09:00:00.000 GMT+0900,20253.031,20436.031,20217.530,20401.031,15.8784
