Local time,Open,High,Low,Close,Volume
06.12.2016 12:00:00.000 GMT+0900,18354.656,18393.871,18323.170,18370.844,14.8973
06.12.2016 13:00:00.000 GMT+0900,18370.428,18390.540,18347.076,18356.371,10.3911
06.12.2016 14:00:00.000 GMT+0900,18356.371,18383.635,18334.615,18366.062,15.7591
06.12.2016 15:00:00.000 GMT+0900,18366.120,18439.896,18366.120,18434.303,14.3118
06.12.2016 16:00:00.000 GMT+0900,18435.643,18437.268,18371.200,18382.043,20.3817
06.12.2016 17:00:00.000 GMT+0900,18384.715,18422.342,18359.021,18421.355,40.5379
06.12.2016 18:00:00.000 GMT+0900,18421.355,18447.120,18403.360,18445.766,28.8573
06.12.2016 19:00:00.000 GMT+0900,18445.766,18456.734,18427.893,18441.771,26.0353
06.12.2016 20:00:00.000 GMT+0900,18441.734,18456.652,18417.707,18424.670,27.3289
06.12.2016 21:00:00.000 GMT+0900,18425.021,18428.863,18383.050,18410.310,27.0931
06.12.2016 22:00:00.000 GMT+0900,18410.700,18418.314,18392.436,18395.557,30.5358
06.12.2016 23:00:00.000 GMT+0900,18395.691,18408.219,18368.906,18393.514,41.5997
07.12.2016 00:00:00.000 GMT+0900,18393.926,18419.120,18367.324,18417.031,47.0852
07.12.2016 01:00:00.000 GMT+0900,18417.012,18422.143,18396.422,18422.143,36.581
07.12.2016 02:00:00.000 GMT+0900,18422.310,18443.125,18419.588,18426.156,26.3
07.12.2016 03:00:00.000 GMT+0900,18425.734,18450.637,18422.404,18447.205,20.3668
07.12.2016 04:00:00.000 GMT+0900,18447.172,18480.305,18440.426,18480.305,9.362
07.12.2016 05:00:00.000 GMT+0900,18480.129,18480.322,18458.568,18463.766,9.0937
07.12.2016 06:00:00.000 GMT+0900,18461.031,18463.531,18461.031,18463.531,0.0005
07.12.2016 07:00:00.000 GMT+0900,18463.531,18463.531,18463.531,18463.531,0
07.12.2016 08:00:00.000 GMT+0900,18463.531,18463.531,18463.531,18463.531,0
07.12.2016 09:00:00.000 GMT+0900,18463.531,18463.531,18463.531,18463.531,0
07.12.2016 10:00:00.000 GMT+0900,18476.031,18511.457,18440.027,18441.354,11.381
07.12.2016 11:00:00.000 GMT+0900,18441.354,18452.186,18421.050,18440.530,7.21
07.12.2016 12:00:00.000 GMT+0900,18440.530,18476.738,18434.643,18469.625,7.1847
07.12.2016 13:00:00.000 GMT+0900,18466.810,18481.238,18465.078,18470.543,5.1407
07.12.2016 14:00:00.000 GMT+0900,18466.424,18507.670,18457.783,18505.280,9.0625
07.12.2016 15:00:00.000 GMT+0900,18505.280,18525.934,18490.254,18523.596,7.431
07.12.2016 16:00:00.000 GMT+0900,18523.596,18565.998,18513.768,18560.260,12.8546
07.12.2016 17:00:00.000 GMT+0900,18557.480,18567.309,18525.404,18550.010,24.0998
07.12.2016 18:00:00.000 GMT+0900,18550.135,18563.336,18525.320,18531.760,17.519
07.12.2016 19:00:00.000 GMT+0900,18531.760,18554.373,18526.783,18553.557,13.7451
07.12.2016 20:00:00.000 GMT+0900,18553.844,18561.445,18533.266,18536.908,7.6112
07.12.2016 21:00:00.000 GMT+0900,18536.910,18543.758,18516.620,18533.719,10.769
07.12.2016 22:00:00.000 GMT+0900,18533.584,18533.775,18514.280,18518.889,14.2846
07.12.2016 23:00:00.000 GMT+0900,18518.889,18542.414,18517.370,18534.652,22.0801
08.12.2016 00:00:00.000 GMT+0900,18534.314,18543.889,18499.637,18500.710,33.6366
08.12.2016 01:00:00.000 GMT+0900,18500.543,18528.578,18494.363,18522.152,24.516
08.12.2016 02:00:00.000 GMT+0900,18522.380,18558.926,18522.309,18558.926,17.2038
08.12.2016 03:00:00.000 GMT+0900,18558.926,18635.762,18553.893,18633.885,23.1256
08.12.2016 04:00:00.000 GMT+0900,18633.885,18668.342,18625.217,18654.531,22.3155
08.12.2016 05:00:00.000 GMT+0900,18654.531,18676.299,18634.232,18655.201,21.4767
08.12.2016 06:00:00.000 GMT+0900,18651.530,18651.530,18651.530,18651.530,0.0003
08.12.2016 07:00:00.000 GMT+0900,18651.530,18651.530,18651.530,18651.530,0
08.12.2016 08:00:00.000 GMT+0900,18651.530,18651.530,18651.530,18651.530,0
08.12.2016 09:00:00.000 GMT+0900,18651.530,18651.530,18651.530,18651.530,0
08.12.2016 10:00:00.000 GMT+0900,18691.854,18699.033,18630.455,18653.690,15.3717
08.12.2016 11:00:00.000 GMT+0900,18653.770,18696.217,18638.445,18690.531,18.1045
08.12.2016 12:00:00.000 GMT+0900,18690.027,18690.027,18618.330,18656.379,25.4103
08.12.2016 13:00:00.000 GMT+0900,18656.268,18695.016,18645.890,18678.088,19.3154
